ÍNDICES SENTINEL 2	1CALI/2VALI	B1	B2	B3	B4	B5	B6	B7	B8	B8A	I 543	I 54	CLOROFILA IN SITU	LOG10 CLOROFILA	LN CLOROFILA	CLOROFILA (DRODZ)	CLOROFILA (MISHRA)	CLOROFILA (RN)	CLOROFILA (MDN)
EBAY341 22092021	1	0.007026810808	0.009706340798	0.0129244711	0.01643811546	0.01506239863	0.00705776438	0.006123826563	0.004543942742	0.01479637086	0.2599607906	-0.04367283729	0.7	-0.15490196	-0.3566749439	12.05835897	10.64875294	1.429	3.0412016
EBAY349 22092021	1	0.005855005536	0.008473140006	0.01165159546	0.01534566062	0.01424729718	0.006311633091	0.005434080319	0.003939646782	0.01337384763	0.2558697132	-0.0371157033	0.7	-0.15490196	-0.3566749439	11.51501307	11.11047856	1.147	3.0462275
EPPA313 29092020	1	0.005002513832	0.006902165409	0.009182891791	0.01173697928	0.01079871623	0.004880508181	0.00417440421	0.003029211563	0.00244415875	0.2599305152	-0.04163452818	0.7	-0.15490196	-0.3566749439	12.05424532	10.79049216	1.427	2.736082
EPPA314 29092020	1	0.005801347712	0.007341678454	0.009220191318	0.01143927704	0.01050050772	0.004916386828	0.00421816698	0.003078249826	0.00258618552	0.2657711284	-0.04278844697	0.7	-0.15490196	-0.3566749439	12.87439708	10.71005305	1.934	3.8049235
ERDB351 21092021	1	0.005737189501	0.008206330823	0.01118795165	0.01472180495	0.01377603127	0.006616107952	0.005770977628	0.004303321378	0.01282768429	0.2580817599	-0.03318756083	0.7	-0.15490196	-0.3566749439	11.80568782	11.39508551	1.293	3.6917534
ESGP362 05052022	1	0.00420485203	0.005564607667	0.007425524857	0.009877498566	0.009374990736	0.004272101591	0.00378693583	0.002800998724	0.008504412575	0.2595027121	-0.02610092761	0.7	-0.15490196	-0.3566749439	11.99626757	11.92370416	1.395	4.1743937
ESGP365 05052022	1	0.005610613789	0.007206125626	0.009418891614	0.01266013604	0.0121309912	0.005817321429	0.005114897108	0.003798776863	0.01077784193	0.2598579909	-0.02134412209	0.7	-0.15490196	-0.3566749439	12.04439681	12.28947987	1.422	4.7014365
ESGP367 05052022	1	0.00393805978	0.005724515277	0.008003837771	0.01102003958	0.01049596488	0.004893307231	0.004251474565	0.003145478868	0.00919324508	0.253380862	-0.02435743592	0.7	-0.15490196	-0.3566749439	11.19651215	12.05674945	0.999	4.4983435
ESGP361 05052022	1	0.004027695354	0.005282818026	0.007003307216	0.009201937386	0.008643285252	0.003904260449	0.00344110438	0.002541922681	0.008015610203	0.2593576006	-0.03130541686	1.1	0.04139268516	0.0953101798	11.97666483	11.53357819	1.384	3.8525171
ESGP364 05052022	1	0.004629005341	0.006042954395	0.007969855172	0.01073933305	0.01032574099	0.004955467763	0.00438848217	0.003254788776	0.009122422166	0.2602473409	-0.01963401838	1.1	0.04139268516	0.0953101798	12.09736345	12.42312776	1.451	4.782908
EBAY346 16112021	1	0.005457500778	0.007691323524	0.01045402415	0.01322389003	0.01202276285	0.005030030806	0.004428652412	0.00317955831	0.01198716995	0.2591798737	-0.04757570015	1.45	0.1613680022	0.3715635564	11.95269979	10.38186297	1.371	2.2773004
EBAY348 22092021	1	0.005348037592	0.007713177132	0.01062770825	0.0139421137	0.01294617969	0.005837984699	0.005092031344	0.003686887309	0.01218767015	0.2567377604	-0.03703968844	1.45	0.1613680022	0.3715635564	11.62821601	11.11592918	1.202	2.9175406
EBAY349 16112021	1	0.004319010804	0.005733678205	0.007387676752	0.008958386311	0.008123386734	0.003817055791	0.003425283993	0.002554432785	0.008429796361	0.2677901313	-0.04888248867	1.45	0.1613680022	0.3715635564	13.17070151	10.29382363	2.142	3.2118673
EPPA312 24112020	1	0.00847916083	0.01159429223	0.01531106862	0.0184508903	0.01667431957	0.007260365118	0.006482880488	0.004685917694	0.003742361854	0.2683484645	-0.05057822387	1.45	0.1613680022	0.3715635564	13.25383832	10.18057006	2.203	2.8215976
EPPA312 29092020	1	0.007517153262	0.008718994584	0.01022603937	0.01220588001	0.01121093329	0.00545577685	0.004688678779	0.003423000521	0.002954865802	0.2743849558	-0.0424885621	1.45	0.1613680022	0.3715635564	14.18689217	10.7309081	2.958	6.334628
EPPA315 24112020	1	0.008490566656	0.01170372573	0.01546835826	0.01859000172	0.01675727658	0.007219218079	0.006439758607	0.004650427738	0.003676508402	0.2683353793	-0.05184911632	1.45	0.1613680022	0.3715635564	13.25188392	10.09642324	2.201	2.7248101
EPPA315 29092020	1	0.004756026748	0.00628968702	0.008130083648	0.01021008712	0.009345904459	0.004199346875	0.00358039179	0.002596155575	0.002117506796	0.2624388229	-0.04419017329	1.45	0.1613680022	0.3715635564	12.39986436	10.61303553	1.629	3.4608176
EPPA317 24112020	1	0.008080762456	0.0110978116	0.01467589928	0.01762459297	0.01581660815	0.006798353663	0.00604587121	0.004364756963	0.003472948995	0.2674291333	-0.05406458986	1.45	0.1613680022	0.3715635564	13.11722605	9.951235909	2.103	2.593313
EPPA317 29092020	1	0.005684069779	0.007419351045	0.009499878752	0.01173890776	0.01069147672	0.004840585932	0.004150101965	0.003022742623	0.002508583236	0.2647158794	-0.04669697218	1.45	0.1613680022	0.3715635564	12.72219315	10.44143674	1.832	3.146999
EPPA318 29092020	1	0.005630024341	0.007411759749	0.009529916062	0.01182466408	0.01079562738	0.004908838608	0.004207592737	0.003073033062	0.002558257067	0.264411337	-0.04549175267	1.45	0.1613680022	0.3715635564	12.67860298	10.52363322	1.804	3.132434
EPPA319 24112020	1	0.007566631532	0.01067747175	0.01436629556	0.01743656252	0.01569312809	0.006647530816	0.005920321888	0.004273557066	0.003351989502	0.2657669026	-0.05262453103	1.45	0.1613680022	0.3715635564	12.87378395	10.04539075	1.934	2.4483194
EPPA320 30092020	1	0.005853116916	0.007806498865	0.0102069766	0.01254897554	0.0113152293	0.004904757152	0.004148944687	0.002980214089	0.002353836323	0.263367162	-0.05169861061	1.45	0.1613680022	0.3715635564	12.5302775	10.10635558	1.709	2.8813767
EPPA321 26112020	1	0.008448237397	0.01147835692	0.01506756493	0.01793797078	0.01619537734	0.007191948902	0.006451025203	0.004708501732	0.003897372897	0.2708277277	-0.05105252018	1.45	0.1613680022	0.3715635564	13.62939001	10.1490931	2.490	2.9010453
ERDB354 17112021	1	0.005898464042	0.007931792977	0.01045675895	0.01352176137	0.01264087031	0.005973685359	0.005309880042	0.003948068212	0.01196974087	0.261497194	-0.03366981847	1.45	0.1613680022	0.3715635564	12.26897081	11.35982142	1.550	3.6136577
ERDB354 21092021	1	0.005546054335	0.007848471583	0.01071550127	0.01404483687	0.01321190863	0.006130319005	0.005335286608	0.003913634003	0.01229151429	0.2602577901	-0.03055860947	1.45	0.1613680022	0.3715635564	12.09878815	11.58891159	1.452	3.6873572
ERDB355 17112021	1	0.006030110409	0.008205033031	0.01086681114	0.0140546738	0.01322892511	0.00640886801	0.005742995313	0.004307020235	0.01243941949	0.2631967109	-0.03026538744	1.45	0.1613680022	0.3715635564	12.50623015	11.61069663	1.694	3.9748058
ERDB355 21092021	1	0.005717455511	0.008254055723	0.01148606239	0.01519127185	0.01441286981	0.00668621506	0.005877216256	0.004311572367	0.01320011106	0.2605891256	-0.02629368738	1.45	0.1613680022	0.3715635564	12.1440513	11.90906725	1.478	4.165453
ERDB357 17112021	1	0.005850764397	0.007821389652	0.01024171095	0.01333382858	0.0127553116	0.006235431449	0.005606133941	0.004156474427	0.01171730711	0.2659776381	-0.022174628	1.45	0.1613680022	0.3715635564	12.9043954	12.22498426	1.954	4.652282
ERDB358 17112021	1	0.007944976687	0.01018044092	0.01268412395	0.01557431857	0.01447128612	0.007851565187	0.006951898993	0.005346863267	0.01443581646	0.2710312437	-0.03671194041	1.45	0.1613680022	0.3715635564	13.66068661	11.13945599	2.515	4.887985
ERDB359 21092021	1	0.01085726266	0.01357760409	0.01630187921	0.0197683854	0.01875885309	0.01174470546	0.01042661473	0.008326266938	0.01849047207	0.2789092283	-0.02620307979	1.45	0.1613680022	0.3715635564	14.92902049	11.9159456	3.659	9.742185
ERDB359 28102021	1	0.004869856032	0.00701306883	0.009712484517	0.01252613719	0.01170424295	0.004932064039	0.004459909718	0.003218684253	0.01114963697	0.2619281069	-0.03391998937	1.45	0.1613680022	0.3715635564	12.3286986	11.34156379	1.586	2.8517807
EBAY348 16112021	1	0.00554943918	0.007654137342	0.01023032809	0.01278332206	0.01165721157	0.005108414946	0.004534506011	0.003320500887	0.01171485489	0.2625898853	-0.04607552781	2.2	0.3424226808	0.7884573604	12.42099278	10.48374901	1.642	2.591185
EPPA313 09012020	1	0.004702881286	0.006561608147	0.008946305054	0.01040738476	0.008938863379	0.003358678063	0.002967575305	0.002109244314	0.001645966724	0.2643021867	-0.0759072957	2.2	0.3424226808	0.7884573604	12.66301632	8.621927857	1.794	2.1281333
EPPA314 09012020	1	0.005166450789	0.006978426643	0.009356416505	0.01073189896	0.009135377558	0.00341440792	0.003006610791	0.00213241784	0.001672736865	0.2655343765	-0.08035934857	2.2	0.3424226808	0.7884573604	12.84009149	8.373732657	1.911	1.9696906
EPPA327 26112020	1	0.008256539035	0.01137890013	0.01511841625	0.01771904402	0.01593243486	0.006702908448	0.005966970792	0.004303493496	0.003432461658	0.2733614059	-0.0530915494	2.2	0.3424226808	0.7884573604	14.02418086	10.01476755	2.817	2.9273837
EPPA311 24112020	1	0.008063779242	0.01074301176	0.01378682773	0.01666586663	0.01587448169	0.007802061213	0.007177642093	0.005262900847	0.004324904532	0.2805144604	-0.02432011274	2.4	0.3802112417	0.8754687374	15.2015587	12.05961049	3.938	5.772502
ESGP365 10022022	1	0.004375418032	0.006289181434	0.008862466299	0.01216618972	0.01174541308	0.00540544062	0.005019345474	0.003700556746	0.01019144889	0.2575722178	-0.01759717404	2.4	0.3802112417	0.8754687374	11.73808748	12.58379414	1.258	4.416913
ESGP363 10022022	1	0.005347985126	0.007477242586	0.01034017477	0.01416356479	0.013827719	0.006598247973	0.006149876121	0.004542365537	0.01187672773	0.2609952595	-0.01199822778	2.5	0.3979400087	0.9162907319	12.1997636	13.03374715	1.510	4.9147024
ESGP364 10022022	1	0.003326886477	0.004935520503	0.007087882105	0.009866288383	0.009626003151	0.004447579696	0.004134919833	0.003056624306	0.008161647732	0.2576204718	-0.01232719263	2.6	0.414973348	0.955511445	11.74447265	13.00697337	1.261	4.593819
