metricas	ficek	chen v1	chen v2	rionegro
n	7	7	7	7
chl_min	0.98	0.98	0.98	0.98
chl_mean	1.95	1.95	1.95	1.95
chl_median	1.6	1.6	1.6	1.6
chl_max	4.5	4.5	4.5	4.5
AEmean	2.46	3.62	1.49	1.27
AEmedian	2.79	3.54	1.83	1.29
REmean	1.52	2.42	1	0.75
REmedian	1.63	2.29	0.83	0.78
RMSE	2.74	3.8	1.68	1.29
RMSLE	0.41	0.53	0.31	0.25
mu	1.55	2.42	1.05	0.79
MAE	2.33	3.18	1.89	1.78
MAPE	1.63	2.29	0.83	0.78
Bias	2.33	3.18	1.81	1.56
Beta	1.63	2.29	0.83	0.78
MSB	1.33	2.18	0.81	0.56
Epsilon	1.63	2.29	0.83	0.78
MSA	1.33	2.18	0.89	0.78
DMC	1.26	1.85	0.68	0.41
DSD	0.47	-0.35	-0.23	-0.57
Int.OLS	0.47	0.72	0.43	0.38
Int.OLS.Pvalue	0.01	0	0	0
Slope.OLS	0.56	0.11	0.3	0.23
Slope.OLS.Pvalue	0.16	0.42	0.3	0.18
R2.OLS	0.22	-0.04	0.05	0.19
Int.SMA	0.38	0.67	0.34	0.33
Slope.SMA	0.95	0.29	0.65	0.41
Int.TheilSen	0.56	0.7	0.48	0.33
Slope.TheilSen	0.59	0.11	0.37	0.62
