metricas	mishra	mdn	drodz	rio negro
n	61	61	61	61
chl_min	0.7	0.7	0.7	0.7
chl_mean	215.53	215.53	215.53	215.53
chl_median	9.4	9.4	9.4	9.4
chl_max	4600	4600	4600	4600
AEmean	194.75	122.85	114.4	113.32
AEmedian	9.76	3.34	11.21	1.68
REmean	2.82	0.88	3.25	0.39
REmedian	0.86	0.45	1.23	0.3
RMSE	692.73	507.5	379.56	432.76
RMSLE	0.7	0.34	0.6	0.22
mu	4	1.16	3	0.64
MAE	3.94	1.8	3.08	1.47
MAPE	0.86	0.45	1.23	0.3
Bias	1.21	1.17	2.46	0.93
Beta	0.29	0.11	1.23	-0.05
MSB	0.21	0.17	1.46	-0.07
Epsilon	3.09	0.53	1.27	0.31
MSA	2.94	0.8	2.08	0.47
DMC	-0.87	-0.48	-0.19	-0.44
DSD	-0.95	-0.65	-0.45	-0.58
Int.OLS	0.9	0.34	0.85	0.08
Int.OLS.Pvalue	0	0	0	0.05
Slope.OLS	0.32	0.77	0.61	0.91
Slope.OLS.Pvalue	0	0	0	0
R2.OLS	0.81	0.91	0.86	0.96
Int.SMA	0.85	0.29	0.79	0.05
Slope.SMA	0.36	0.81	0.66	0.93
Int.TheilSen	0.96	0.37	1.01	0.06
Slope.TheilSen	0.24	0.75	0.41	0.9
