ÍNDICES SENTINEL 2	1CALI/2VALI	B1	B2	B3	B4	B5	B6	B7	B8	B8A	I B5B6 	I B5B2	I B2B3	TURBIDEZ IN SITU	TURBIDEZ (ZHAN)	TURBIDEZ (DELEGIDO)	TURBIDEZ (MACIEL B6)	TURBIDEZ (MACIEL B8A)	TURBIDEZ (RN)
EPPA323 08012020	1	0.004720978773	0.006763227175	0.009310151305	0.01052839869	0.008950632608	0.003328736078	0.002904690581	0.002057096503	0.001613882915	0.006139684343	0.01184550245	0.726435796	12.2	3.213485423	5.913990599	3.521294853	3.994174596	10.40109182
EPPA322 08012020	1	0.005423783025	0.007333006889	0.009762044806	0.01060984304	0.009452971672	0.003917131942	0.003458279695	0.002510319275	0.002186922422	0.006685051807	0.0121858161	0.7511752952	12.3	3.279775119	5.301871284	4.156335799	5.427199024	12.82366863
EPPA320 08012020	1	0.005483651229	0.007372401919	0.009805880235	0.01084288613	0.009494116078	0.003769699242	0.003308880435	0.002365207295	0.001970264514	0.00663190766	0.01222644141	0.7518347912	12.4	3.287688522	5.286712942	3.996852813	4.884471781	12.58759702
EPPA331 08012020	1	0.005073535314	0.006913794846	0.009292041105	0.01025986422	0.009101361749	0.003579607341	0.00314194843	0.002244622963	0.001846113546	0.006340484545	0.01198108818	0.7440555598	12.7	3.239896166	5.469190687	3.791582184	4.573979625	11.2930664
EPPA317 09012020	1	0.005746553209	0.007563789352	0.009954554711	0.01079561472	0.009752983486	0.003784213827	0.003396081495	0.002441323143	0.001995563915	0.006768598656	0.01257579798	0.7598320137	13.4	3.355739689	5.107325442	4.01254295	4.947788801	13.19479209
EPPA321 08012020	1	0.005072488128	0.006883188045	0.009220407443	0.01009776951	0.008966610286	0.003522957068	0.00308180882	0.002208449145	0.001828985053	0.006244783677	0.01168064849	0.74651669	13.5	3.181373518	5.410582078	3.730486315	4.531171427	10.86795357
EPPA324 30092020	1	0.006299397489	0.008053270727	0.01000006228	0.01170400049	0.01064331957	0.005483700386	0.004811398884	0.00369610549	0.003589759552	0.008063509979	0.01406636575	0.8053220573	15	3.646087384	4.224801755	5.866088814	8.968673486	18.94691768
EPPA324 18022020	1	0.005266783179	0.007202546742	0.01027195616	0.01008125116	0.009894263787	0.00371422464	0.003285199115	0.002270622081	0.001632279631	0.006804244213	0.01359192233	0.7011855024	15.3	3.55367055	6.637556368	3.936906939	4.040058467	13.35313322
EPPA333 09012020	1	0.006592219256	0.008337176319	0.01084822347	0.01142914434	0.01087039122	0.004972010912	0.00452865569	0.003354429846	0.003130578029	0.007921201065	0.01417331249	0.7685291829	15.9	3.66691954	4.921157128	5.304567826	7.804215984	18.31476725
EPPA322 30092020	1	0.00634090658	0.008422337178	0.01088900105	0.01313486428	0.01193317634	0.005507166716	0.004748657517	0.00348590637	0.002988825274	0.008720171526	0.01690750376	0.7734719778	16.1	4.199512657	4.819294131	5.891912297	7.445775306	21.86387394
EPPA316 29092020	1	0.005247760181	0.006880687073	0.008838798728	0.0110089043	0.01005165781	0.00456545709	0.003900391496	0.002844922912	0.002356369198	0.007308557451	0.01468397323	0.778464052	16.5	3.766391145	4.719193658	4.860546828	5.852446172	15.59334305
EPPA326 18022020	1	0.006343116548	0.008459918019	0.01175697308	0.01161491804	0.01135636089	0.004963816463	0.004505172554	0.003311464131	0.003020075935	0.008160088677	0.01524446601	0.7195659939	16.8	3.875569534	6.100200275	5.295599657	7.52475487	19.37592991
EPPA312 29092020	1	0.007517153262	0.008718994584	0.01022603937	0.01220588001	0.01121093329	0.00545577685	0.004688678779	0.003423000521	0.002954865802	0.008333355069	0.01441508238	0.8526267374	17.1	3.714013896	3.506942065	5.83536864	7.359976618	20.14559655
EPPA318 29092020	1	0.005630024341	0.007411759749	0.009529916062	0.01182466408	0.01079562738	0.004908838608	0.004207592737	0.003073033062	0.002558257067	0.007852232994	0.01572441289	0.7777360997	17.8	3.969058387	4.733620195	5.235450549	6.360008609	18.00840418
EPPA316 16062020	1	0.007598620134	0.01025981139	0.01401770749	0.01433441907	0.01444246615	0.006599428376	0.005575828651	0.004066066765	0.003300708723	0.01052094726	0.02033027906	0.7319179253	18	4.866235058	5.770690214	7.10092212	8.235058492	29.86309984
EPPA318 16062020	1	0.008506399425	0.01157562399	0.01562730813	0.01734089431	0.01568529027	0.006542826559	0.005482611473	0.003968247833	0.003180942347	0.01111405842	0.02125400161	0.7407305144	18	5.046166974	5.549696691	7.037930176	7.931686303	32.49775889
EPPA315 29092020	1	0.004756026748	0.00628968702	0.008130083648	0.01021008712	0.009345904459	0.004199346875	0.00358039179	0.002596155575	0.002117506796	0.006772625667	0.01388716639	0.7736312801	18.1	3.61118114	4.816057195	4.46229658	5.253190863	13.21268048
EPPA311 29092020	1	0.006527061795	0.008040468184	0.009882261872	0.01220769036	0.01136675565	0.005396902829	0.004688800469	0.003412368318	0.002870591872	0.008381829239	0.01606910581	0.8136263022	18.1	4.036201121	4.085735	5.770627476	7.147179	20.36092366
EPPA318 08012020	1	0.00540734156	0.007211321532	0.009737823138	0.01055474881	0.009650773273	0.00383229386	0.003381242754	0.002421908115	0.001955197598	0.006741533566	0.01291544474	0.7405475978	18.8	3.421899481	5.554170265	4.064533856	4.846770951	13.07456626
EPPA311 16062020	1	0.007670672481	0.01034575621	0.01375245993	0.0151295651	0.01366079555	0.005781284418	0.004834788325	0.003505645082	0.002799256921	0.009721039984	0.0180380565	0.7522840467	19	4.419733026	5.276419334	6.194033355	6.967187517	26.30983171
EPPA319 16062020	1	0.006066797384	0.00836860595	0.0113702049	0.01222344836	0.01156626557	0.004944544356	0.004165684071	0.003018252563	0.002405419193	0.008255404963	0.01598575677	0.7360118854	19	4.019965562	5.666622674	5.274510889	5.975671691	19.79933438
EBAY349 16112021	1	0.004319010804	0.005733678205	0.007387676752	0.008958386311	0.008123386734	0.003817055791	0.003425283993	0.002554432785	0.008429796361	0.005970221262	0.01150908887	0.7761138444	20	3.147955421	4.765977897	4.048053512	21.56302137	9.648319868
EPPA313 29092020	1	0.005002513832	0.006902165409	0.009182891791	0.01173697928	0.01079871623	0.004880508181	0.00417440421	0.003029211563	0.00244415875	0.007839612208	0.0168950272	0.7516330983	20.6	4.197082348	5.291342782	5.204468763	6.07303575	17.95234139
EBAY347 16112021	1	0.004948475477	0.006867743124	0.009199084302	0.01131461492	0.01007597537	0.004002660043	0.003516557923	0.002471338381	0.01053367499	0.007039317707	0.01478291745	0.7465681256	20.6	3.78566449	5.409365983	4.24896597	27.22672206	14.39735318
EBAY344 16112021	1	0.008886475361	0.0114301025	0.01435473364	0.01743405281	0.01616462429	0.00855024532	0.007679341223	0.005902096892	0.01635286966	0.01235743481	0.02286025681	0.7962601594	22.7	5.359049423	4.383699083	9.295068705	43.52818313	38.02096115
ESGP364 27102021	1	0.004362515287	0.006404585616	0.009048774581	0.01148745505	0.01138603565	0.004855102071	0.004359500084	0.003138808653	0.01039555659	0.008120568861	0.02024202902	0.7077848563	23	4.849044832	6.437761186	5.17669273	26.85126896	19.20037894
ESGP362 27102021	1	0.004741795013	0.007036229666	0.01013344895	0.01235140336	0.01209796743	0.004966835156	0.004502695366	0.003240000762	0.01164933383	0.008532401293	0.0208010288	0.6943568477	23.8	4.9579324	6.852908638	5.298903287	30.27849082	21.02977978
EPPA312 16062020	1	0.007028018299	0.00964910182	0.01314281664	0.01420381748	0.01379401408	0.006117605466	0.005170993359	0.003772041107	0.00304165253	0.009955809775	0.0197194338	0.7341730529	24	4.747248509	5.713059441	6.565895902	7.57929906	27.3527026
EBAY341 22092021	1	0.007026810808	0.009706340798	0.0129244711	0.01643811546	0.01506239863	0.00705776438	0.006123826563	0.004543942742	0.01479637086	0.01106008151	0.02337398381	0.7510048746	24.4	5.459118306	5.305797589	7.61238315	39.07343296	32.25798807
ESGP360 27102021	1	0.00425917915	0.006446746967	0.009377637591	0.01172979141	0.01180144795	0.005000569623	0.004508243879	0.003268037542	0.01079758494	0.008401008787	0.02160379095	0.6874595978	24.9	5.114302438	7.079785261	5.335829025	27.94555666	20.44612113
ERDB357 28102021	1	0.005488730771	0.007808909774	0.01072977943	0.01376641022	0.01271858479	0.005450617997	0.00483408378	0.003503307104	0.01231670371	0.009084601393	0.02071510668	0.7277791519	25.2	4.94119563	5.878449667	5.829694087	32.12035328	23.48270785
ERDB359 28102021	1	0.004869856032	0.00701306883	0.009712484517	0.01252613719	0.01170424295	0.004932064039	0.004459909718	0.003218684253	0.01114963697	0.008318153495	0.01953343199	0.7220674399	25.3	4.711017218	6.031522159	5.260856386	28.90741968	20.07806964
EPPA317 29092020	1	0.005684069779	0.007419351045	0.009499878752	0.01173890776	0.01069147672	0.004840585932	0.004150101965	0.003022742623	0.002508583236	0.007766031327	0.01540669444	0.7809942883	25.8	3.90717001	4.66949412	5.160825795	6.235033624	17.62548776
ERDB354 28102021	1	0.007264409988	0.009735946003	0.01272850562	0.01573114701	0.01462204076	0.00704809055	0.006392038159	0.004825044363	0.01455392302	0.01083506565	0.0219602775	0.7648930908	26	5.183742455	4.997893134	7.601562582	38.38587753	31.25844515
ERDB358 17112021	1	0.007944976687	0.01018044092	0.01268412395	0.01557431857	0.01447128612	0.007851565187	0.006951898993	0.005346863267	0.01443581646	0.01116142565	0.02057063379	0.8026128539	26.4	4.913053757	4.271506747	8.504046842	38.05155311	32.7081689
EBAY347 22092021	1	0.0060684376	0.008267740389	0.01094878781	0.01427283996	0.01335357616	0.006373069862	0.005574677785	0.004121889847	0.01252996889	0.009863323009	0.02156792398	0.755128379	26.6	5.107315912	5.211852271	6.849232584	32.71154518	26.94186714
EBAY348 22092021	1	0.005348037592	0.007713177132	0.01062770825	0.0139421137	0.01294617969	0.005837984699	0.005092031344	0.003686887309	0.01218767015	0.009392082193	0.02172951115	0.725761091	26.7	5.138791477	5.931947088	6.256634009	31.76327395	24.84856831
ESGP365 27102021	1	0.004022120234	0.006113054787	0.00894605844	0.01110331048	0.01185232899	0.005192209356	0.004676371401	0.003372663271	0.0102953668	0.008522269175	0.02297995151	0.6833238155	27	5.382364755	7.220547478	5.545843917	26.57924139	20.9847719
EPPA332 23022021	1	0.009827916962	0.01331419161	0.0171966431	0.0179203536	0.01691952264	0.007293143205	0.006566247212	0.00480234674	0.004061610967	0.01210633292	0.02150113614	0.7742320132	27.3	5.094306309	4.803876147	7.876003349	10.17063166	36.90554148
ERDB355 17112021	1	0.006030110409	0.008205033031	0.01086681114	0.0140546738	0.01322892511	0.00640886801	0.005742995313	0.004307020235	0.01243941949	0.00981889656	0.02132891591	0.755054351	28.1	5.06075953	5.213519601	6.888997048	32.46037865	26.74452041
ESGP363 27102021	1	0.004054176478	0.006178749543	0.009195045075	0.01128270822	0.01238903546	0.005503847434	0.004977881457	0.003598901979	0.01059542373	0.008946441447	0.02484130463	0.6719651174	28.3	5.744937728	7.626430134	5.888259215	27.39474323	22.86898755
EPPA326 20012021	1	0.00876169612	0.01207446011	0.01600348339	0.01763816249	0.0156821737	0.006191999849	0.005547234755	0.00396238413	0.003098712988	0.01093708677	0.02036783175	0.7544894952	28.5	4.873549946	5.226264812	6.648328861	7.723598509	31.71163315
EPPA321 18022020	1	0.006759243595	0.008966476333	0.0123764136	0.0121332009	0.01222927746	0.005254701912	0.00472553624	0.003456020676	0.002948986181	0.008741989685	0.01667937566	0.7244809862	29.1	4.155075585	5.966211834	5.614419126	7.345124581	21.96079238
EPPA327 20012021	1	0.008232188747	0.01133700879	0.01580282286	0.0147841896	0.01592099833	0.006579037042	0.005901478572	0.004215402159	0.003320317664	0.01125001769	0.02235847149	0.717404029	29.1	5.261306662	6.160383124	7.078224374	8.284761843	33.10170356
EPPA320 20012021	1	0.009070913397	0.01267061645	0.01694795737	0.01864573933	0.01683285499	0.006717562765	0.006018200015	0.004307275868	0.003366206518	0.01177520888	0.02236236952	0.747619089	29.8	5.262065959	5.384595949	7.232513966	8.40111425	35.43465535
EPPA324 20012021	1	0.008518973431	0.01178381229	0.01571950754	0.01745016315	0.01555462187	0.00614042207	0.005487031871	0.003925326848	0.003068800444	0.01084752197	0.02053208719	0.7496298638	29.8	4.905545264	5.337615721	6.591171099	7.647943211	31.31377734
EPPA325 24022021	1	0.007460389371	0.01051187743	0.0143127441	0.01215363432	0.0158071527	0.006752130808	0.005992612819	0.004258099922	0.003285609642	0.01127964175	0.02376988109	0.7344417919	30.5	5.536235137	5.706241928	7.271050737	8.196792796	33.23329663
ERDB356 28102021	1	0.006622375903	0.009187144178	0.01245484423	0.01583415219	0.01480391485	0.006585436931	0.005916014049	0.004312533493	0.01429491036	0.01069467589	0.0238546267	0.7376362167	30.5	5.552742734	5.626012184	7.085347616	37.65321386	30.63481976
EPPA333 24022021	1	0.007596006622	0.01058167102	0.01399118225	0.01259201629	0.01564029987	0.0070149216	0.006265479598	0.004478494694	0.003496878235	0.01132761073	0.0231172354	0.7563099979	30.7	5.409106284	5.185332747	7.564470136	8.732717099	33.44637964
EPPA312 19012021	1	0.008243686192	0.01140438586	0.01517756599	0.0168657185	0.01529792815	0.006103405123	0.005525549988	0.003949590728	0.003080305333	0.01070066664	0.02052075477	0.7513975475	31.6	4.903337822	5.296756538	6.550168453	7.677038996	30.66143127
EPPA322 20012021	1	0.008736062095	0.01203691294	0.01606779074	0.01660034379	0.01618077909	0.006674106772	0.005988423571	0.004276557688	0.003355044974	0.01142744293	0.02175122584	0.7491330414	32.1	5.143021282	5.349173627	7.184088655	8.372809138	33.88984424
EPPA315 19012021	1	0.008208448685	0.01140541857	0.01529981982	0.01682416175	0.01547267214	0.006216938199	0.005586214847	0.003999444517	0.003121589311	0.01084480517	0.02099033732	0.7454609734	32.3	4.994807806	5.435621594	6.675976253	7.781472335	31.30170904
EPPA316 19012021	1	0.008287740107	0.01153256749	0.01540602289	0.01689883799	0.01538380618	0.006050352546	0.005489648735	0.003906765258	0.003024358302	0.01071707936	0.02052114525	0.7485752535	32.9	4.903413884	5.362188807	6.491431259	7.53557951	30.73433824
ERDB355 21092021	1	0.005717455511	0.008254055723	0.01148606239	0.01519127185	0.01441286981	0.00668621506	0.005877216256	0.004311572367	0.01320011106	0.01054954243	0.02516712063	0.718614913	33	5.808403427	6.126580547	7.197579341	34.57752058	29.99012244
EPPA317 19012021	1	0.00861675758	0.01184814082	0.01566850426	0.01786332393	0.01586663286	0.006485600393	0.005851282868	0.004201407892	0.003300499952	0.01117611663	0.02124806264	0.7561756131	33.1	5.045010123	5.188339896	6.974281389	8.234529366	32.77342767
EPPA314 19012021	1	0.008490497617	0.01167664236	0.01538189913	0.01767363624	0.01557359699	0.006536981493	0.005897553635	0.004281347591	0.003491809856	0.01105528924	0.02077111861	0.7591157803	33.4	4.952106193	5.123064089	7.031427355	8.719847414	32.23670035
EPPA311 19012021	1	0.008713466336	0.01175027057	0.01528662684	0.01680150948	0.01577684913	0.006793669699	0.00618821183	0.004519036556	0.003777769076	0.01128525942	0.02118325422	0.7686634005	34.1	5.03238609	4.918354159	7.317377174	9.446940134	33.25825085
ERDB353 21092021	1	0.006702597831	0.009459883555	0.01294227537	0.01694059799	0.015986522	0.007587386952	0.006671174191	0.004915952136	0.01486247813	0.01178695447	0.02701607098	0.7309289349	35	6.168560466	5.796203898	8.206471244	39.26120009	35.48683047
ERDB341 02022022	1	0.007210026747	0.01040058679	0.01517429372	0.01559106147	0.01801031428	0.0090702946	0.008306188458	0.006096403272	0.01720317845	0.01354030444	0.03118779999	0.6854082948	35.4	6.981171559	7.149149264	9.887662979	45.99194036	43.27538635
ERDB358 01022022	1	0.005801817384	0.009105716685	0.01488468908	0.01157409316	0.02026849846	0.01304464092	0.01221384844	0.009050847558	0.01646869999	0.01665656969	0.04511583701	0.6117505469	38.8	9.69421389	10.35965293	14.52688254	43.86253591	57.11814821
ERDB346 02022022	1	0.006028894352	0.00932707218	0.0156121226	0.01273650405	0.02070228856	0.01230786814	0.01153869872	0.008506111977	0.01747659997	0.01650507835	0.04595062023	0.5974249894	60.7	9.856821315	11.19233146	13.65180267	46.78876358	56.44520853
ERDB356 01022022	1	0.005863208034	0.009140051225	0.01471408229	0.01169218524	0.01991807572	0.01271508197	0.01187198694	0.008806493437	0.01627984652	0.01631657885	0.04340563641	0.6211771178	63.4	9.361083917	9.855485164	14.13459522	43.3176004	55.60787489
ERDB355 01022022	1	0.005641900328	0.009041332217	0.01521875164	0.01136665329	0.02150102551	0.01467834477	0.01378356458	0.01026448768	0.01675315701	0.01808968514	0.05113119251	0.5940915806	81.4	10.86594499	11.39852454	16.4924522	44.6853297	63.48419037
EPPA334 19022020	1	0.007514163949	0.01211076858	0.0244850713	0.01352114464	0.02943913125	0.02255677654	0.02159610373	0.01617654883	0.014550979	0.02599795389	0.07156130872	0.4946184729	85.3	14.84552733	20.72508629	26.48726514	38.37753901	98.613511
ERDB354 01022022	1	0.005525758147	0.009066766813	0.01622001143	0.01092941462	0.02398455727	0.01775422621	0.01681617334	0.0125486358	0.01776363914	0.02086939174	0.06344698165	0.5589864626	115	13.26493756	13.90436896	20.29023078	47.62769224	75.83192506
EPPA325 08012020	2	0.004894832665	0.006889160337	0.009492957716	0.01057029147	0.009260294642	0.003536389054	0.003114071315	0.002228492121	0.001803024997	0.006398341848	0.0124475339	0.7257127381	12.2	3.330755129	5.933236676	3.744969136	4.466304373	11.55007432
EPPA332 08012020	2	0.004430015922	0.006341570596	0.00885844238	0.01014821653	0.00862347868	0.003122890629	0.002750513668	0.001944076644	0.001505065481	0.005873184654	0.01172649321	0.715878743	12.3	3.190303613	6.203310057	3.300039721	3.722933773	9.217273553
EPPA314 09012020	2	0.005166450789	0.006978426643	0.009356416505	0.01073189896	0.009135377558	0.00341440792	0.003006610791	0.00213241784	0.001672736865	0.006274892739	0.01195901704	0.74584395	13.4	3.235596929	5.426520681	3.613518583	4.140992524	11.00170104
EPPA313 09012020	2	0.004702881286	0.006561608147	0.008946305054	0.01040738476	0.008938863379	0.003358678063	0.002967575305	0.002109244314	0.001645966724	0.006148770721	0.0121773926	0.7334433721	14.5	3.278134305	5.731624128	3.553517436	4.074201127	10.44145442
EPPA311 09012020	2	0.005758300486	0.007993253169	0.01081720692	0.01238275345	0.01107647932	0.004481120212	0.003977150405	0.002887238809	0.002380763784	0.007778799764	0.01534899389	0.7389387321	15.8	3.895930519	5.593721838	4.768672132	5.913724082	17.68220643
EPPA320 30092020	2	0.005853116916	0.007806498865	0.0102069766	0.01254897554	0.0113152293	0.004904757152	0.004148944687	0.002980214089	0.002353836323	0.008109993228	0.01640100337	0.7648199045	16.4	4.100851447	4.99945365	5.23098656	5.846084544	19.15340092
EPPA319 29092020	2	0.005587018999	0.007092726052	0.008796977753	0.01064291678	0.009695418663	0.004687205206	0.004019652891	0.002963949879	0.002611543804	0.007191311935	0.01325317549	0.8062684994	17	3.487686053	4.208643008	4.993318391	6.49413943	15.07252675
EPPA322 18022020	2	0.006890339349	0.008876536314	0.01156201372	0.01260144126	0.01128299919	0.005094933454	0.004675477397	0.003462577397	0.003202310526	0.008188966323	0.01434186334	0.767732726	17.9	3.69975156	4.937833169	5.439188488	7.985787039	19.5042073
EPPA315 16062020	2	0.007406432451	0.01002078081	0.01360901777	0.01446792902	0.01405194041	0.006248233032	0.005273507563	0.003837946206	0.003105121309	0.01015008672	0.01970475486	0.7363338763	18	4.7443892	5.658542103	6.710680841	7.739809363	28.21570023
EPPA314 29092020	2	0.005801347712	0.007341678454	0.009220191318	0.01143927704	0.01050050772	0.004916386828	0.00421816698	0.003078249826	0.00258618552	0.007708447274	0.01501845431	0.7962609669	18.2	3.831544714	4.383684578	5.243706724	6.430300239	17.36969364
EPPA314 16062020	2	0.004770759388	0.006848369986	0.00927651679	0.01092492731	0.009479287163	0.003876014913	0.003255193278	0.002351777581	0.001855644088	0.006677651038	0.01312091568	0.738248002	19	3.461923165	5.610815316	4.111833658	4.597801755	12.79079368
EBAY348 16112021	2	0.00554943918	0.007654137342	0.01023032809	0.01278332206	0.01165721157	0.005108414946	0.004534506011	0.003320500887	0.01171485489	0.008382813259	0.01775387291	0.7481810236	22.5	4.364376905	5.371412562	5.453963446	30.4587765	20.36529478
EBAY346 16112021	2	0.005457500778	0.007691323524	0.01045402415	0.01322389003	0.01202276285	0.005030030806	0.004428652412	0.00317955831	0.01198716995	0.008526396826	0.01879349191	0.7357285016	23.3	4.56688429	5.673746852	5.368087827	31.2093388	21.00310734
ESGP361 27102021	2	0.004786330477	0.007157488479	0.0105418751	0.01264090467	0.01238934062	0.004904302294	0.004505774992	0.003223362489	0.01213674307	0.008646821456	0.02144547789	0.6789578143	24.3	5.083464638	7.37313937	5.230489082	31.62246878	21.53804559
ERDB355 28102021	2	0.006891994591	0.009390067173	0.01241147184	0.01539570052	0.01432635146	0.006855583984	0.006232301207	0.004703354315	0.01419940803	0.01059096772	0.02185760148	0.7565635481	25	5.163742192	5.179665209	7.386464871	37.38355386	30.17413772
EPPA334 24022021	2	0.009179898671	0.01272037918	0.01696861345	0.01769622646	0.01601765758	0.006414687068	0.005724409305	0.00410038011	0.003240741861	0.01121617233	0.02016963102	0.749641638	26.3	4.834942426	5.337342207	6.895462247	8.083116833	32.95135909
EPPA328 24022021	2	0.007901641775	0.01121058138	0.01527325159	0.01482912131	0.01514943624	0.006232423378	0.005594863908	0.004017628784	0.003217980228	0.01069092981	0.02047221376	0.7340009632	26.7	4.893882519	5.717430695	6.693147212	8.025467217	30.61817931
ERDB354 17112021	2	0.005898464042	0.007931792977	0.01045675895	0.01352176137	0.01264087031	0.005973685359	0.005309880042	0.003948068212	0.01196974087	0.009307277833	0.02014571013	0.7585326401	27.2	4.830282876	5.135924948	6.406606684	31.16123893	24.47185886
